Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Test Cases/Menu-Mes rapports (FR)/TC3 Verify info icon function,Chrome 67.0.3396.99,,2018-08-01 20:52:17,2018-08-01 20:52:18,1.221s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:17,2018-08-01 20:52:17,0.091s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:17,2018-08-01 20:52:18,0.798s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 20:52:18,2018-08-01 20:52:20,1.687s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:18,2018-08-01 20:52:19,1.236s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:19,2018-08-01 20:52:20,0.115s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:20,2018-08-01 20:52:20,0.098s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC2 Verify Masquer function,Chrome 67.0.3396.99,,2018-08-01 20:52:20,2018-08-01 20:52:21,0.896s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:52:20,2018-08-01 20:52:20,0.291s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:20,2018-08-01 20:52:20,0.072s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:20,2018-08-01 20:52:20,0.058s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:20,2018-08-01 20:52:21,0.201s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC3 Verify info icon function,Chrome 67.0.3396.99,,2018-08-01 20:52:21,2018-08-01 20:52:21,0.674s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:21,2018-08-01 20:52:21,0.083s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:21,2018-08-01 20:52:21,0.369s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC1 Verify Info icon,Chrome 67.0.3396.99,,2018-08-01 20:52:21,2018-08-01 20:52:22,0.666s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:21,2018-08-01 20:52:22,0.122s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:22,2018-08-01 20:52:22,0.314s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC2 Verify the funtion Nouveau comptage,Chrome 67.0.3396.99,,2018-08-01 20:52:22,2018-08-01 20:52:26,4.070s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:22,2018-08-01 20:52:22,0.095s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:22,2018-08-01 20:52:26,3.724s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC3 Verify Montants Function,Chrome 67.0.3396.99,,2018-08-01 20:52:26,2018-08-01 20:52:27,0.586s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:52:26,2018-08-01 20:52:26,0.235s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:26,2018-08-01 20:52:27,0.129s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC4 Verify the creation of a new Comptage,Chrome 67.0.3396.99,,2018-08-01 20:52:27,2018-08-01 20:52:31,3.984s,ERROR
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:52:27,2018-08-01 20:52:28,1.381s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:52:28,2018-08-01 20:52:29,0.507s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 20:52:29,2018-08-01 20:52:31,1.803s,PASSED
sendKeys,Chrome 67.0.3396.99,,2018-08-01 20:52:31,2018-08-01 20:52:31,0.006s,PASSED
