Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerifyURL(FR),Chrome 67.0.3396.99,,2018-08-01 20:50:46,2018-08-01 20:52:31,1m - 45.335s,FAILED
,,,,,,
Test Cases/eBlox Reporting/TC-Login to Mysdworx,Chrome 67.0.3396.99,,2018-08-01 20:50:46,2018-08-01 20:51:12,25.729s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-01 20:50:47,2018-08-01 20:50:51,3.826s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-01 20:50:51,2018-08-01 20:51:00,8.933s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-08-01 20:51:00,2018-08-01 20:51:01,1.172s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 20:51:01,2018-08-01 20:51:12,10.959s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 20:51:12,2018-08-01 20:51:12,0.173s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:51:12,2018-08-01 20:51:12,0.131s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 20:51:12,2018-08-01 20:51:12,0.086s,PASSED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 20:51:12,2018-08-01 20:51:54,42.133s,FAILED
click,Chrome 67.0.3396.99,,2018-08-01 20:51:12,2018-08-01 20:51:23,10.416s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:51:23,2018-08-01 20:51:54,31.415s,FAILED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC2 Verify Masquer function,Chrome 67.0.3396.99,,2018-08-01 20:51:54,2018-08-01 20:52:17,22.426s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:51:55,2018-08-01 20:52:13,18.345s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:13,2018-08-01 20:52:13,0.106s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:13,2018-08-01 20:52:13,0.060s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:52:13,2018-08-01 20:52:17,3.506s,PASSED
,,,,,,
