Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerifyURL(FR),Chrome 67.0.3396.99,,2018-08-01 22:27:15,2018-08-01 22:28:24,1m - 9.539s,FAILED
,,,,,,
Test Cases/eBlox Reporting/TC-Login to Mysdworx,Chrome 67.0.3396.99,,2018-08-01 22:27:15,2018-08-01 22:27:40,24.658s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-08-01 22:27:16,2018-08-01 22:27:19,3.634s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-01 22:27:19,2018-08-01 22:27:27,7.481s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-08-01 22:27:27,2018-08-01 22:27:28,1.175s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 22:27:28,2018-08-01 22:27:39,11.555s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 22:27:39,2018-08-01 22:27:40,0.159s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:27:40,2018-08-01 22:27:40,0.140s,PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-08-01 22:27:40,2018-08-01 22:27:40,0.076s,PASSED
,,,,,,
Test Cases/Select Language/TC1 Verify NL language,Chrome 67.0.3396.99,,2018-08-01 22:27:40,2018-08-01 22:28:12,32.243s,FAILED
click,Chrome 67.0.3396.99,,2018-08-01 22:27:40,2018-08-01 22:28:12,31.925s,FAILED
,,,,,,
Test Cases/Menu-Mes rapports (NL)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 22:28:12,2018-08-01 22:28:24,11.468s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:28:12,2018-08-01 22:28:13,0.105s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:28:13,2018-08-01 22:28:23,10.896s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 22:28:23,2018-08-01 22:28:24,0.105s,PASSED
