Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VerifyURL(FR),Chrome 67.0.3396.99,,2018-08-01 20:46:51,2018-08-01 20:48:02,1m - 10.429s,FAILED
,,,,,,
Test Cases/eBlox Reporting/TC-Login to Mysdworx,Chrome 67.0.3396.99,,2018-08-01 20:46:52,2018-08-01 20:47:07,15.219s,FAILED
openBrowser,Chrome 67.0.3396.99,,2018-08-01 20:46:52,2018-08-01 20:46:54,1.555s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-08-01 20:46:54,2018-08-01 20:47:06,12.229s,PASSED
maximizeWindow,Chrome 67.0.3396.99,,2018-08-01 20:47:06,2018-08-01 20:47:07,0.895s,FAILED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 20:47:07,2018-08-01 20:47:11,3.564s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:07,2018-08-01 20:47:08,0.152s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:08,2018-08-01 20:47:11,2.961s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:11,2018-08-01 20:47:11,0.107s,PASSED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC2 Verify Masquer function,Chrome 67.0.3396.99,,2018-08-01 20:47:11,2018-08-01 20:47:15,3.928s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:47:11,2018-08-01 20:47:11,0.322s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:11,2018-08-01 20:47:11,0.072s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:11,2018-08-01 20:47:11,0.061s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:11,2018-08-01 20:47:15,3.185s,PASSED
,,,,,,
Test Cases/Menu-Mes rapports (FR)/TC3 Verify info icon function,Chrome 67.0.3396.99,,2018-08-01 20:47:15,2018-08-01 20:47:16,1.181s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:15,2018-08-01 20:47:15,0.091s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:15,2018-08-01 20:47:16,0.763s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC1 Verify Deployer function,Chrome 67.0.3396.99,,2018-08-01 20:47:16,2018-08-01 20:47:19,3.150s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:16,2018-08-01 20:47:18,1.458s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:18,2018-08-01 20:47:19,1.231s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:19,2018-08-01 20:47:19,0.116s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC2 Verify Masquer function,Chrome 67.0.3396.99,,2018-08-01 20:47:19,2018-08-01 20:47:20,1.083s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:47:19,2018-08-01 20:47:20,0.313s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:20,2018-08-01 20:47:20,0.070s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:20,2018-08-01 20:47:20,0.068s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:20,2018-08-01 20:47:20,0.257s,PASSED
,,,,,,
Test Cases/Menu- Bibliotheque (FR)/TC3 Verify info icon function,Chrome 67.0.3396.99,,2018-08-01 20:47:20,2018-08-01 20:47:21,0.844s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:20,2018-08-01 20:47:21,0.091s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:21,2018-08-01 20:47:21,0.368s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC1 Verify Info icon,Chrome 67.0.3396.99,,2018-08-01 20:47:21,2018-08-01 20:47:22,0.724s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:21,2018-08-01 20:47:21,0.106s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:21,2018-08-01 20:47:22,0.347s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC2 Verify the funtion Nouveau comptage,Chrome 67.0.3396.99,,2018-08-01 20:47:22,2018-08-01 20:47:25,3.498s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:22,2018-08-01 20:47:22,0.078s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:22,2018-08-01 20:47:25,3.175s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC3 Verify Montants Function,Chrome 67.0.3396.99,,2018-08-01 20:47:25,2018-08-01 20:47:26,0.764s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:47:25,2018-08-01 20:47:26,0.292s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:26,2018-08-01 20:47:26,0.180s,PASSED
,,,,,,
Test Cases/Menu- Comptages (FR)/TC4 Verify the creation of a new Comptage,Chrome 67.0.3396.99,,2018-08-01 20:47:26,2018-08-01 20:48:01,35.551s,FAILED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:47:26,2018-08-01 20:47:28,1.418s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-01 20:47:28,2018-08-01 20:47:28,0.547s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-01 20:47:28,2018-08-01 20:47:30,1.762s,PASSED
click,Chrome 67.0.3396.99,,2018-08-01 20:47:30,2018-08-01 20:48:01,31.493s,FAILED
